ID,classID,class,kW,zenfuka,heater_A,kidoID,kido,syadanID,syadan,bunki
193,1,200V,132,470,500,1,直入,10,50,☆
194,1,200V,160,580,500,1,直入,10,50,☆
195,1,200V,200,720,600,1,直入,10,50,☆
196,1,200V,0.1,0.7,0.7,1,直入,11,85,☆
197,1,200V,0.2,1.2,1.3,1,直入,11,85,☆
198,1,200V,0.4,2.1,2.1,1,直入,11,85,☆
199,1,200V,0.75,3.7,3.6,1,直入,11,85,☆
200,1,200V,1.5,6.4,6.6,1,直入,11,85,"NF63-HRV (15)"
201,1,200V,2.2,9.1,9,1,直入,11,85,"NF63-HRV 20"
202,1,200V,3.7,15,15,1,直入,11,85,"NF63-HRV 30"
203,1,200V,5.5,22,22,1,直入,11,85,"NF63-HRV 50"
204,1,200V,7.5,29,29,1,直入,11,85,☆
205,1,200V,11,44,42,1,直入,11,85,☆
206,1,200V,15,55,54,1,直入,11,85,☆
207,1,200V,18.5,67,67,1,直入,11,85,☆
208,1,200V,22,85,82,1,直入,11,85,"NF250-SV 150"
209,1,200V,30,110,105,1,直入,11,85,"NF250-SV 175"
210,1,200V,37,130,125,1,直入,11,85,"NF250-SV 225"
211,1,200V,45,164,150,1,直入,11,85,"NF400-SW 250"
212,1,200V,55,195,180,1,直入,11,85,"NF400-SW 300"
213,1,200V,75,267,250,1,直入,11,85,"NF630-SW 500"
214,1,200V,90,320,330,1,直入,11,85,"NF630-SW 600"
215,1,200V,110,385,330,1,直入,11,85,"NF630-SEW 600"
216,1,200V,132,470,500,1,直入,11,85,☆
217,1,200V,160,580,500,1,直入,11,85,☆
218,1,200V,200,720,600,1,直入,11,85,☆
219,1,200V,0.1,0.7,0.7,1,直入,12,100,"NF50-HCW (3)"
220,1,200V,0.2,1.2,1.3,1,直入,12,100,"NF125-HV (15)"
221,1,200V,0.4,2.1,2.1,1,直入,12,100,"NF50-HCW 5"
222,1,200V,0.75,3.7,3.6,1,直入,12,100,"NF125-HV (15)"
223,1,200V,1.5,6.4,6.6,1,直入,12,100,"NF125-HV 15"
224,1,200V,2.2,9.1,9,1,直入,12,100,"NF125-HV 20"
225,1,200V,3.7,15,15,1,直入,12,100,"NF125-HV 30"
226,1,200V,5.5,22,22,1,直入,12,100,"NF125-HV 50"
227,1,200V,7.5,29,29,1,直入,12,100,"NF125-HV 60"
228,1,200V,11,44,42,1,直入,12,100,"NF125-HV 75"
229,1,200V,15,55,54,1,直入,12,100,"NF125-HV 100"
230,1,200V,18.5,67,67,1,直入,12,100,"NF125-HV 100"
231,1,200V,22,85,82,1,直入,12,100,"NF250-HV 150"
232,1,200V,30,110,105,1,直入,12,100,"NF250-HV 175"
233,1,200V,37,130,125,1,直入,12,100,"NF250-HV 225"
234,1,200V,45,164,150,1,直入,12,100,"NF400-HEW 250"
235,1,200V,55,195,180,1,直入,12,100,"NF400-HEW 300"
236,1,200V,75,267,250,1,直入,12,100,"NF400-HEW 400"
237,1,200V,90,320,330,1,直入,12,100,"NF630-HEW 500"
238,1,200V,110,385,330,1,直入,12,100,"NF630-HEW 600"
239,1,200V,132,470,500,1,直入,12,100,☆
240,1,200V,160,580,500,1,直入,12,100,☆
241,1,200V,200,720,600,1,直入,12,100,☆
242,1,200V,0.1,0.7,0.7,1,直入,13,150,"NF125-RV (15)"
243,1,200V,0.2,1.2,1.3,1,直入,13,150,"NF125-RV (15)"
244,1,200V,0.4,2.1,2.1,1,直入,13,150,"NF125-RV (15)"
245,1,200V,0.75,3.7,3.6,1,直入,13,150,"NF125-RV (15)"
246,1,200V,1.5,6.4,6.6,1,直入,13,150,"NF125-RV (15)"
247,1,200V,2.2,9.1,9,1,直入,13,150,"NF125-RV 20"
248,1,200V,3.7,15,15,1,直入,13,150,"NF125-RV 30"
249,1,200V,5.5,22,22,1,直入,13,150,"NF125-RV 50"
